,gender,average trip duration,average birth year,count,percentage,year,month
0,female,807.7690661990355,1975.8227093380096,57025,19.452764151651394,2014,January
1,male,685.4458548279163,1974.566482850923,236106,80.54211894414387,2014,January
2,unknown,308.53333333333336,1963.1333333333334,15,0.005116904204730749,2014,January
3,female,991.3610742785506,1976.510981460498,41479,19.025406042592618,2014,February
4,male,814.0324088236293,1975.2594971845508,176526,80.96817249872717,2014,February
5,unknown,387.0,1973.857142857143,14,0.006421458680206771,2014,February
6,female,755.8567340932449,1976.523357937027,85624,20.571071630208895,2014,March
7,male,653.2625670438973,1974.9198226078224,330567,79.41835741828534,2014,March
8,unknown,1119.0,1988.3636363636363,44,0.010570951505759967,2014,March
9,female,844.9647360228788,1976.9669181443776,134273,22.093932079172404,2014,April
10,male,722.8293750462087,1975.410084601654,473395,77.89471432544012,2014,April
11,unknown,1521.695652173913,1979.0579710144928,69,0.011353595387478465,2014,April
12,female,884.0953606773068,1977.0507064813225,174810,23.046073690483095,2014,May
13,male,749.9083403010034,1975.5964502576896,583648,76.94522520052102,2014,May
14,unknown,1078.5151515151515,1978.2878787878788,66,0.008701108995892022,2014,May
15,female,901.8476609356258,1977.3651147136081,197579,24.134792975735603,2014,June
16,male,766.1324870431273,1975.7629544568742,620906,75.84529614681767,2014,June
17,unknown,968.2085889570552,1990.0184049079755,163,0.019910877446717025,2014,June
18,female,869.4262377805043,1977.6489294336486,202136,23.788626095511802,2014,July
19,male,735.7810137571172,1975.8873989378628,647374,76.18701285251443,2014,July
20,unknown,932.4782608695652,1995.9033816425122,207,0.0243610519737748,2014,July
21,female,875.7056156243169,1977.909759606342,196719,23.77105142002303,2014,August
22,male,745.7883708723115,1976.179397357074,630589,76.19886001810147,2014,August
23,unknown,934.4658634538152,1995.9799196787149,249,0.03008856187549619,2014,August
24,female,905.583458216666,1977.70417931932,202856,21.266250614590618,2014,September
25,male,769.9715422882517,1976.1039775771055,651493,68.29876075468059,2014,September
26,unknown,1724.5246739938516,1995.4497816593887,99538,10.434988630728798,2014,September
27,female,882.0506475472224,1977.5615155335802,172111,20.76851882019184,2014,October
28,male,771.6909963405019,1976.0682931647234,587239,70.8617358765601,2014,October
29,unknown,1836.0675884142386,1994.2214285714285,69361,8.369745303248056,2014,October
30,female,788.6952189229995,1977.0396760763142,109285,20.651450902136858,2014,November
31,male,715.1127948147827,1975.7122131168467,391729,74.02454326250785,2014,November
32,unknown,1868.630261943636,1993.4491017964071,28174,5.324005835355299,2014,November
33,female,787.6471058041034,1976.0958927425795,76377,19.138795546634793,2014,December
34,male,674.7852870754788,1974.853040132228,306139,76.71330020623,2014,December
35,unknown,1865.077206548662,1995.6896551724137,16553,4.147904247135207,2014,December
36,female,692.3793791872229,1976.0488549325246,52093,18.242911974001235,2015,January
37,male,622.5604002388437,1974.6947278762227,227764,79.762705216563,2015,January
38,unknown,1576.6484635645304,1994.2985074626865,5695,1.9943828094357594,2015,January
39,female,713.572132833293,1976.2616743285748,33064,16.789722236327627,2015,February
40,male,624.6843398550411,1975.0848286405753,161563,82.04082668968668,2015,February
41,unknown,1460.5340859748155,1992.0526315789473,2303,1.1694510739856803,2015,February
42,female,783.3727514990006,1976.3919450525048,63042,18.442716469782873,2015,March
43,male,670.208780172203,1975.0275083036483,265849,77.77319454927361,2015,March
44,unknown,1812.818863548512,1993.6904761904761,12935,3.7840889809435208,2015,March
45,female,936.5159851127445,1977.264630310203,128432,19.686383911464,2015,April
46,male,777.7920167837669,1975.6946929730627,457585,70.13979368169346,2015,April
